season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,day,month,hour,is_weekend
1,0,1,13,0,1,1,1,0.24,0.2273,0.56,0.194,97,4,1,13,0
1,0,1,14,0,1,1,1,0.26,0.2576,0.52,0.2239,63,4,1,14,0
1,0,1,15,0,1,1,1,0.28,0.2727,0.52,0.2537,65,4,1,15,0
1,0,1,16,0,1,1,1,0.3,0.2879,0.49,0.2537,83,4,1,16,0
1,0,1,17,0,1,1,1,0.28,0.2727,0.48,0.2239,212,4,1,17,0
1,0,1,18,0,1,1,1,0.26,0.2576,0.48,0.194,182,4,1,18,0
1,0,1,19,0,1,1,1,0.24,0.2576,0.48,0.1045,112,4,1,19,0
1,0,1,20,0,1,1,1,0.24,0.2576,0.48,0.1045,54,4,1,20,0
1,0,1,21,0,1,1,1,0.22,0.2727,0.64,0.0,48,4,1,21,0
1,0,1,22,0,1,1,1,0.22,0.2576,0.64,0.0896,35,4,1,22,0
1,0,1,23,0,1,1,1,0.2,0.2273,0.69,0.0896,11,4,1,23,0
1,0,1,0,0,2,1,1,0.2,0.2576,0.64,0.0,6,5,1,0,0
1,0,1,1,0,2,1,1,0.16,0.197,0.74,0.0896,6,5,1,1,0
1,0,1,2,0,2,1,1,0.16,0.197,0.74,0.0896,2,5,1,2,0
1,0,1,4,0,2,1,1,0.24,0.2273,0.48,0.2239,2,5,1,4,0
1,0,1,5,0,2,1,1,0.22,0.2273,0.47,0.1642,3,5,1,5,0
1,0,1,6,0,2,1,1,0.2,0.197,0.47,0.2239,33,5,1,6,0
1,0,1,7,0,2,1,1,0.18,0.1818,0.43,0.194,88,5,1,7,0
1,0,1,8,0,2,1,1,0.2,0.1818,0.4,0.2985,195,5,1,8,0
1,0,1,9,0,2,1,1,0.22,0.197,0.37,0.3284,115,5,1,9,0
1,0,1,10,0,2,1,1,0.22,0.197,0.37,0.3284,57,5,1,10,0
1,0,1,11,0,2,1,1,0.26,0.2273,0.33,0.3284,46,5,1,11,0
1,0,1,12,0,2,1,1,0.26,0.2273,0.33,0.3284,79,5,1,12,0
1,0,1,13,0,2,1,1,0.28,0.2576,0.3,0.2985,71,5,1,13,0
1,0,1,14,0,2,1,1,0.3,0.2879,0.28,0.194,62,5,1,14,0
1,0,1,15,0,2,1,1,0.3,0.2879,0.28,0.194,62,5,1,15,0
1,0,1,16,0,2,1,1,0.3,0.3182,0.28,0.0896,89,5,1,16,0
1,0,1,17,0,2,1,1,0.24,0.2273,0.38,0.194,190,5,1,17,0
1,0,1,18,0,2,1,1,0.24,0.2424,0.38,0.1343,169,5,1,18,0
1,0,1,19,0,2,1,1,0.24,0.2576,0.38,0.1045,132,5,1,19,0
1,0,1,20,0,2,1,1,0.22,0.2273,0.47,0.1642,89,5,1,20,0
1,0,1,21,0,2,1,1,0.2,0.197,0.51,0.194,43,5,1,21,0
1,0,1,22,0,2,1,1,0.18,0.197,0.55,0.1343,42,5,1,22,0
1,0,1,23,0,2,1,1,0.2,0.2576,0.47,0.0,19,5,1,23,0
1,0,1,0,0,3,1,1,0.18,0.2424,0.55,0.0,11,6,1,0,0
1,0,1,1,0,3,1,1,0.16,0.2273,0.64,0.0,4,6,1,1,0
1,0,1,2,0,3,1,1,0.16,0.2273,0.64,0.0,2,6,1,2,0
1,0,1,4,0,3,1,2,0.16,0.197,0.64,0.0896,1,6,1,4,0
1,0,1,5,0,3,1,2,0.14,0.1818,0.69,0.0896,4,6,1,5,0
1,0,1,6,0,3,1,2,0.14,0.1667,0.63,0.1045,36,6,1,6,0
1,0,1,7,0,3,1,2,0.16,0.2273,0.59,0.0,95,6,1,7,0
1,0,1,8,0,3,1,1,0.16,0.2273,0.59,0.0,219,6,1,8,0
1,0,1,9,0,3,1,2,0.18,0.2424,0.51,0.0,122,6,1,9,0
1,0,1,10,0,3,1,1,0.2,0.2576,0.47,0.0,45,6,1,10,0
1,0,1,11,0,3,1,1,0.22,0.2576,0.44,0.0896,59,6,1,11,0
1,0,1,12,0,3,1,1,0.26,0.2879,0.35,0.0,84,6,1,12,0
1,0,1,13,0,3,1,1,0.26,0.2727,0.35,0.1045,67,6,1,13,0
1,0,1,14,0,3,1,1,0.28,0.2727,0.36,0.1642,70,6,1,14,0
1,0,1,15,0,3,1,1,0.28,0.2727,0.36,0.0,62,6,1,15,0
1,0,1,16,0,3,1,1,0.26,0.2576,0.38,0.1642,86,6,1,16,0
1,0,1,17,0,3,1,1,0.22,0.2273,0.51,0.1642,172,6,1,17,0
1,0,1,18,0,3,1,1,0.22,0.2273,0.51,0.1343,163,6,1,18,0
1,0,1,19,0,3,1,1,0.22,0.2576,0.55,0.0896,112,6,1,19,0
1,0,1,20,0,3,1,1,0.2,0.2121,0.51,0.1642,69,6,1,20,0
1,0,1,21,0,3,1,2,0.22,0.2121,0.55,0.2239,48,6,1,21,0
1,0,1,22,0,3,1,2,0.22,0.2121,0.51,0.2836,52,6,1,22,0
1,0,1,23,0,3,1,2,0.2,0.197,0.59,0.194,23,6,1,23,0
1,0,1,0,0,4,1,2,0.2,0.197,0.64,0.194,17,7,1,0,0
1,0,1,1,0,4,1,2,0.2,0.197,0.69,0.2239,7,7,1,1,0
1,0,1,2,0,4,1,2,0.2,0.197,0.69,0.2239,1,7,1,2,0
1,0,1,4,0,4,1,2,0.2,0.2121,0.69,0.1343,1,7,1,4,0
1,0,1,5,0,4,1,3,0.22,0.2727,0.55,0.0,5,7,1,5,0
1,0,1,6,0,4,1,2,0.2,0.2576,0.69,0.0,34,7,1,6,0
1,0,1,7,0,4,1,1,0.2,0.2121,0.69,0.1343,84,7,1,7,0
1,0,1,8,0,4,1,1,0.2,0.197,0.51,0.2537,210,7,1,8,0
1,0,1,9,0,4,1,1,0.2,0.1818,0.47,0.2985,134,7,1,9,0
1,0,1,10,0,4,1,1,0.22,0.197,0.37,0.3284,63,7,1,10,0
1,0,1,11,0,4,1,2,0.2,0.197,0.4,0.2239,67,7,1,11,0
1,0,1,12,0,4,1,2,0.2,0.197,0.37,0.2537,59,7,1,12,0
1,0,1,13,0,4,1,2,0.2,0.1818,0.37,0.2836,73,7,1,13,0
1,0,1,14,0,4,1,2,0.2,0.197,0.4,0.2537,50,7,1,14,0
1,0,1,15,0,4,1,2,0.2,0.2121,0.37,0.1642,72,7,1,15,0
1,0,1,16,0,4,1,2,0.2,0.2121,0.37,0.1642,87,7,1,16,0
1,0,1,17,0,4,1,2,0.2,0.2576,0.37,0.0,187,7,1,17,0
1,0,1,18,0,4,1,1,0.2,0.2273,0.4,0.0896,123,7,1,18,0
1,0,1,19,0,4,1,1,0.16,0.197,0.55,0.0896,95,7,1,19,0
1,0,1,20,0,4,1,1,0.18,0.2121,0.47,0.1045,51,7,1,20,0
1,0,1,21,0,4,1,1,0.18,0.197,0.47,0.1343,39,7,1,21,0
1,0,1,22,0,4,1,2,0.18,0.197,0.43,0.1642,36,7,1,22,0
1,0,1,23,0,4,1,2,0.18,0.197,0.51,0.1642,15,7,1,23,0
1,0,1,0,0,5,0,2,0.18,0.197,0.51,0.1642,25,8,1,0,1
1,0,1,1,0,5,0,2,0.18,0.2121,0.55,0.0896,16,8,1,1,1
1,0,1,2,0,5,0,2,0.18,0.2424,0.55,0.0,16,8,1,2,1
1,0,1,3,0,5,0,3,0.18,0.197,0.55,0.1642,7,8,1,3,1
1,0,1,4,0,5,0,3,0.18,0.197,0.55,0.1642,1,8,1,4,1
1,0,1,5,0,5,0,2,0.16,0.1667,0.74,0.1642,5,8,1,5,1
1,0,1,6,0,5,0,2,0.16,0.1667,0.74,0.1642,2,8,1,6,1
1,0,1,7,0,5,0,2,0.16,0.1818,0.74,0.1045,9,8,1,7,1
1,0,1,8,0,5,0,3,0.16,0.1818,0.93,0.1045,15,8,1,8,1
1,0,1,9,0,5,0,3,0.16,0.1818,0.93,0.1045,20,8,1,9,1
1,0,1,10,0,5,0,2,0.18,0.197,0.8,0.1642,61,8,1,10,1
1,0,1,11,0,5,0,2,0.2,0.1818,0.69,0.3881,62,8,1,11,1
1,0,1,12,0,5,0,2,0.2,0.1818,0.59,0.3582,98,8,1,12,1
1,0,1,13,0,5,0,1,0.2,0.1818,0.44,0.3284,102,8,1,13,1
1,0,1,14,0,5,0,1,0.2,0.1667,0.32,0.4925,95,8,1,14,1
1,0,1,15,0,5,0,1,0.2,0.1667,0.32,0.4478,74,8,1,15,1
1,0,1,16,0,5,0,1,0.18,0.1364,0.29,0.4478,76,8,1,16,1
1,0,1,17,0,5,0,1,0.16,0.1212,0.37,0.5522,69,8,1,17,1
1,0,1,18,0,5,0,1,0.14,0.1212,0.39,0.2985,55,8,1,18,1
1,0,1,19,0,5,0,1,0.14,0.1212,0.36,0.2537,30,8,1,19,1
1,0,1,20,0,5,0,1,0.12,0.1212,0.36,0.2537,28,8,1,20,1
1,0,1,21,0,5,0,1,0.12,0.1061,0.39,0.3582,37,8,1,21,1
1,0,1,22,0,5,0,1,0.12,0.1061,0.36,0.3881,34,8,1,22,1
1,0,1,23,0,5,0,1,0.1,0.0606,0.39,0.4478,22,8,1,23,1
1,0,1,0,0,6,0,1,0.1,0.0758,0.42,0.3881,25,9,1,0,1
1,0,1,1,0,6,0,1,0.1,0.0606,0.42,0.4627,12,9,1,1,1
1,0,1,2,0,6,0,1,0.1,0.0606,0.46,0.4627,11,9,1,2,1
1,0,1,3,0,6,0,1,0.1,0.0758,0.46,0.4179,4,9,1,3,1
1,0,1,4,0,6,0,1,0.08,0.0909,0.53,0.194,1,9,1,4,1
1,0,1,5,0,6,0,1,0.08,0.0909,0.53,0.194,1,9,1,5,1
1,0,1,6,0,6,0,1,0.1,0.0909,0.49,0.2836,1,9,1,6,1
1,0,1,7,0,6,0,1,0.08,0.0909,0.53,0.194,6,9,1,7,1
1,0,1,8,0,6,0,1,0.1,0.0909,0.49,0.2836,10,9,1,8,1
1,0,1,9,0,6,0,1,0.12,0.0758,0.46,0.5224,19,9,1,9,1
1,0,1,10,0,6,0,1,0.14,0.1061,0.43,0.3881,49,9,1,10,1
1,0,1,11,0,6,0,1,0.16,0.1212,0.4,0.5224,49,9,1,11,1
1,0,1,12,0,6,0,1,0.18,0.1364,0.37,0.4478,83,9,1,12,1
1,0,1,13,0,6,0,1,0.2,0.1667,0.34,0.4478,75,9,1,13,1
1,0,1,14,0,6,0,1,0.22,0.1818,0.32,0.4627,72,9,1,14,1
1,0,1,15,0,6,0,1,0.22,0.197,0.35,0.3582,82,9,1,15,1
1,0,1,16,0,6,0,1,0.2,0.1667,0.34,0.4478,92,9,1,16,1
1,0,1,17,0,6,0,1,0.18,0.1515,0.37,0.3881,62,9,1,17,1
1,0,1,18,0,6,0,1,0.16,0.1364,0.4,0.3284,48,9,1,18,1
1,0,1,19,0,6,0,1,0.16,0.1364,0.43,0.3284,41,9,1,19,1
1,0,1,20,0,6,0,1,0.14,0.1212,0.46,0.2537,38,9,1,20,1
1,0,1,21,0,6,0,1,0.14,0.1061,0.46,0.4179,20,9,1,21,1
1,0,1,22,0,6,0,1,0.14,0.1212,0.46,0.2985,15,9,1,22,1
1,0,1,23,0,6,0,1,0.12,0.1364,0.5,0.194,6,9,1,23,1
1,0,1,0,0,0,1,1,0.12,0.1212,0.5,0.2836,5,10,1,0,0
1,0,1,1,0,0,1,1,0.12,0.1212,0.5,0.2836,1,10,1,1,0
1,0,1,2,0,0,1,1,0.12,0.1212,0.5,0.2239,3,10,1,2,0
1,0,1,3,0,0,1,1,0.12,0.1212,0.5,0.2239,1,10,1,3,0
1,0,1,4,0,0,1,1,0.1,0.1212,0.54,0.1343,3,10,1,4,0
1,0,1,5,0,0,1,1,0.1,0.1061,0.54,0.2537,3,10,1,5,0
1,0,1,6,0,0,1,1,0.12,0.1212,0.5,0.2836,31,10,1,6,0
1,0,1,7,0,0,1,1,0.12,0.1212,0.5,0.2239,77,10,1,7,0
1,0,1,8,0,0,1,2,0.12,0.1212,0.5,0.2836,188,10,1,8,0
1,0,1,9,0,0,1,2,0.14,0.1212,0.5,0.2537,94,10,1,9,0
1,0,1,10,0,0,1,2,0.14,0.1212,0.5,0.2985,31,10,1,10,0
1,0,1,11,0,0,1,2,0.16,0.1364,0.47,0.2836,30,10,1,11,0
1,0,1,12,0,0,1,2,0.2,0.1818,0.4,0.2836,52,10,1,12,0
1,0,1,13,0,0,1,2,0.2,0.1818,0.4,0.2836,54,10,1,13,0
1,0,1,14,0,0,1,2,0.2,0.197,0.4,0.2239,47,10,1,14,0
1,0,1,15,0,0,1,2,0.2,0.197,0.4,0.2239,45,10,1,15,0
1,0,1,16,0,0,1,1,0.2,0.2121,0.4,0.1343,74,10,1,16,0
1,0,1,17,0,0,1,1,0.2,0.2273,0.4,0.1045,178,10,1,17,0
1,0,1,18,0,0,1,1,0.2,0.197,0.4,0.2239,155,10,1,18,0
1,0,1,19,0,0,1,1,0.16,0.1667,0.47,0.1642,95,10,1,19,0
1,0,1,20,0,0,1,1,0.16,0.1667,0.5,0.1642,74,10,1,20,0
1,0,1,21,0,0,1,1,0.14,0.1364,0.59,0.194,38,10,1,21,0
1,0,1,22,0,0,1,1,0.14,0.1515,0.59,0.1642,24,10,1,22,0
1,0,1,23,0,0,1,1,0.14,0.1515,0.59,0.1642,18,10,1,23,0
1,0,1,0,0,1,1,1,0.14,0.1667,0.59,0.1045,12,11,1,0,0
1,0,1,1,0,1,1,1,0.14,0.1515,0.59,0.1642,3,11,1,1,0
1,0,1,2,0,1,1,2,0.16,0.1515,0.55,0.194,3,11,1,2,0
1,0,1,5,0,1,1,2,0.16,0.1818,0.55,0.1343,6,11,1,5,0
1,0,1,6,0,1,1,2,0.16,0.1818,0.55,0.1343,27,11,1,6,0
1,0,1,7,0,1,1,2,0.16,0.2273,0.55,0.0,99,11,1,7,0
1,0,1,8,0,1,1,2,0.18,0.2121,0.51,0.0896,217,11,1,8,0
1,0,1,9,0,1,1,2,0.18,0.197,0.51,0.1642,130,11,1,9,0
1,0,1,10,0,1,1,2,0.2,0.2121,0.51,0.1642,54,11,1,10,0
1,0,1,11,0,1,1,2,0.2,0.2121,0.47,0.1343,35,11,1,11,0
1,0,1,12,0,1,1,2,0.2,0.2273,0.51,0.1045,57,11,1,12,0
1,0,1,13,0,1,1,2,0.2,0.2273,0.59,0.0896,52,11,1,13,0
1,0,1,14,0,1,1,2,0.2,0.2273,0.59,0.0896,63,11,1,14,0
1,0,1,15,0,1,1,2,0.16,0.197,0.8,0.0896,47,11,1,15,0
1,0,1,16,0,1,1,2,0.16,0.1515,0.86,0.2239,76,11,1,16,0
1,0,1,17,0,1,1,2,0.16,0.1515,0.86,0.2239,136,11,1,17,0
1,0,1,18,0,1,1,3,0.16,0.1818,0.93,0.1045,95,11,1,18,0
1,0,1,19,0,1,1,3,0.16,0.2273,0.93,0.0,51,11,1,19,0
1,0,1,20,0,1,1,3,0.16,0.1515,0.93,0.194,32,11,1,20,0
1,0,1,21,0,1,1,3,0.16,0.197,0.86,0.0896,20,11,1,21,0
1,0,1,22,0,1,1,3,0.16,0.1818,0.93,0.1045,29,11,1,22,0
1,0,1,23,0,1,1,3,0.16,0.197,0.93,0.0896,19,11,1,23,0
1,0,1,0,0,2,1,2,0.16,0.197,0.86,0.0896,7,12,1,0,0
1,0,1,1,0,2,1,2,0.16,0.1818,0.86,0.1045,6,12,1,1,0
1,0,1,2,0,2,1,1,0.14,0.1515,0.86,0.1343,1,12,1,2,0
1,0,1,5,0,2,1,1,0.14,0.1515,0.86,0.1642,5,12,1,5,0
1,0,1,6,0,2,1,1,0.12,0.1515,0.93,0.1343,16,12,1,6,0
1,0,1,7,0,2,1,1,0.14,0.1515,0.69,0.1343,54,12,1,7,0
1,0,1,8,0,2,1,1,0.16,0.1667,0.59,0.1642,128,12,1,8,0
1,0,1,9,0,2,1,1,0.16,0.1364,0.59,0.3284,81,12,1,9,0
1,0,1,10,0,2,1,1,0.18,0.1818,0.55,0.2239,39,12,1,10,0
1,0,1,11,0,2,1,1,0.2,0.1818,0.51,0.3881,35,12,1,11,0
1,0,1,12,0,2,1,1,0.2,0.1515,0.47,0.5821,55,12,1,12,0
1,0,1,13,0,2,1,1,0.22,0.197,0.44,0.3582,49,12,1,13,0
1,0,1,14,0,2,1,1,0.2,0.1818,0.47,0.3284,44,12,1,14,0
1,0,1,15,0,2,1,1,0.2,0.1667,0.47,0.4179,49,12,1,15,0
1,0,1,16,0,2,1,1,0.22,0.197,0.44,0.3284,68,12,1,16,0
1,0,1,17,0,2,1,1,0.2,0.1818,0.47,0.3582,139,12,1,17,0
1,0,1,18,0,2,1,1,0.2,0.1515,0.47,0.5224,137,12,1,18,0
1,0,1,19,0,2,1,1,0.18,0.1515,0.47,0.4179,83,12,1,19,0
1,0,1,20,0,2,1,1,0.16,0.1364,0.5,0.3284,56,12,1,20,0
1,0,1,21,0,2,1,1,0.16,0.1364,0.55,0.3284,57,12,1,21,0
1,0,1,22,0,2,1,1,0.16,0.1212,0.55,0.4478,33,12,1,22,0
1,0,1,23,0,2,1,1,0.14,0.1061,0.59,0.4179,20,12,1,23,0
1,0,1,0,0,3,1,1,0.14,0.1212,0.59,0.2836,7,13,1,0,0
1,0,1,1,0,3,1,1,0.14,0.1212,0.5,0.2836,2,13,1,1,0
1,0,1,2,0,3,1,1,0.14,0.1212,0.5,0.3582,2,13,1,2,0
1,0,1,3,0,3,1,1,0.14,0.1212,0.5,0.3284,3,13,1,3,0
1,0,1,4,0,3,1,1,0.14,0.1212,0.5,0.2537,4,13,1,4,0
1,0,1,5,0,3,1,1,0.14,0.1212,0.5,0.2985,3,13,1,5,0
1,0,1,6,0,3,1,1,0.12,0.1515,0.54,0.1343,28,13,1,6,0
1,0,1,7,0,3,1,1,0.12,0.1515,0.54,0.1343,72,13,1,7,0
1,0,1,8,0,3,1,1,0.14,0.1364,0.5,0.194,202,13,1,8,0
1,0,1,9,0,3,1,1,0.14,0.1212,0.5,0.3284,139,13,1,9,0
1,0,1,10,0,3,1,2,0.16,0.1364,0.5,0.3582,38,13,1,10,0
1,0,1,11,0,3,1,2,0.2,0.1667,0.44,0.4478,37,13,1,11,0
1,0,1,12,0,3,1,1,0.2,0.1667,0.44,0.4179,52,13,1,12,0
1,0,1,13,0,3,1,1,0.22,0.197,0.41,0.4478,83,13,1,13,0
1,0,1,14,0,3,1,1,0.22,0.197,0.41,0.3881,42,13,1,14,0
1,0,1,15,0,3,1,1,0.24,0.2121,0.38,0.2985,60,13,1,15,0
1,0,1,16,0,3,1,1,0.24,0.2121,0.38,0.3582,78,13,1,16,0
1,0,1,17,0,3,1,1,0.2,0.1818,0.4,0.2836,162,13,1,17,0
1,0,1,18,0,3,1,1,0.2,0.1818,0.4,0.3284,144,13,1,18,0
1,0,1,19,0,3,1,1,0.16,0.1515,0.47,0.2537,99,13,1,19,0
1,0,1,20,0,3,1,1,0.16,0.1515,0.47,0.2239,64,13,1,20,0
1,0,1,21,0,3,1,1,0.14,0.1212,0.46,0.2985,40,13,1,21,0
1,0,1,22,0,3,1,1,0.14,0.1212,0.46,0.3284,30,13,1,22,0
1,0,1,23,0,3,1,1,0.12,0.1364,0.5,0.194,15,13,1,23,0
1,0,1,0,0,4,1,1,0.12,0.1364,0.5,0.194,14,14,1,0,0
1,0,1,1,0,4,1,1,0.1,0.1212,0.54,0.1642,5,14,1,1,0
1,0,1,2,0,4,1,1,0.1,0.1212,0.54,0.1343,1,14,1,2,0
1,0,1,3,0,4,1,1,0.1,0.1364,0.54,0.1045,1,14,1,3,0
1,0,1,5,0,4,1,1,0.1,0.1364,0.54,0.0896,8,14,1,5,0
1,0,1,6,0,4,1,1,0.1,0.1818,0.54,0.0,17,14,1,6,0
1,0,1,7,0,4,1,1,0.1,0.1212,0.74,0.1642,70,14,1,7,0
1,0,1,8,0,4,1,1,0.12,0.1667,0.68,0.0,158,14,1,8,0
1,0,1,9,0,4,1,1,0.14,0.1515,0.69,0.1343,117,14,1,9,0
1,0,1,10,0,4,1,1,0.18,0.1818,0.55,0.194,44,14,1,10,0
1,0,1,11,0,4,1,1,0.18,0.1667,0.51,0.2836,53,14,1,11,0
1,0,1,12,0,4,1,1,0.2,0.197,0.44,0.2537,61,14,1,12,0
1,0,1,13,0,4,1,1,0.22,0.197,0.37,0.3881,77,14,1,13,0
1,0,1,14,0,4,1,1,0.22,0.2121,0.41,0.2836,64,14,1,14,0
1,0,1,15,0,4,1,1,0.24,0.2424,0.38,0.1642,68,14,1,15,0
1,0,1,16,0,4,1,1,0.22,0.2424,0.41,0.1045,90,14,1,16,0
